
Episode 2740, Pursuer Reward: -737.28, Evader Reward: 737.28, Capture Rate (last20): 0.55, Final Dist: 1446.55
Episode 2760, Pursuer Reward: 1247.43, Evader Reward: -1192.23, Capture Rate (last20): 0.75, Final Dist: 98.94
Episode 2780, Pursuer Reward: 1633.32, Evader Reward: -1507.12, Capture Rate (last20): 0.45, Final Dist: 97.33
Episode 2800, Pursuer Reward: 1546.76, Evader Reward: -1481.65, Capture Rate (last20): 0.65, Final Dist: 98.79
Episode 2820, Pursuer Reward: 1478.30, Evader Reward: -1392.47, Capture Rate (last20): 0.70, Final Dist: 99.66
Episode 2840, Pursuer Reward: 1237.17, Evader Reward: -1162.43, Capture Rate (last20): 0.75, Final Dist: 96.01
Episode 2860, Pursuer Reward: 1527.68, Evader Reward: -1430.70, Capture Rate (last20): 0.70, Final Dist: 98.95
Episode 2880, Pursuer Reward: 1752.80, Evader Reward: -1677.18, Capture Rate (last20): 0.90, Final Dist: 99.57
Episode 2900, Pursuer Reward: 1464.89, Evader Reward: -1435.96, Capture Rate (last20): 0.90, Final Dist: 89.10
Episode 2920, Pursuer Reward: 1681.28, Evader Reward: -1636.84, Capture Rate (last20): 0.90, Final Dist: 99.69
Episode 2940, Pursuer Reward: 533.49, Evader Reward: -517.55, Capture Rate (last20): 0.85, Final Dist: 97.69
Episode 2960, Pursuer Reward: 1590.67, Evader Reward: -1498.00, Capture Rate (last20): 1.00, Final Dist: 99.30
Episode 2980, Pursuer Reward: 1706.23, Evader Reward: -1638.85, Capture Rate (last20): 0.90, Final Dist: 98.83
Episode 3000, Pursuer Reward: 1606.52, Evader Reward: -1515.56, Capture Rate (last20): 0.90, Final Dist: 99.59
Episode 3020, Pursuer Reward: 1452.12, Evader Reward: -1350.57, Capture Rate (last20): 0.95, Final Dist: 94.79
Episode 3040, Pursuer Reward: -1137.57, Evader Reward: 1141.86, Capture Rate (last20): 0.95, Final Dist: 248.19
Episode 3060, Pursuer Reward: 1476.05, Evader Reward: -1368.29, Capture Rate (last20): 1.00, Final Dist: 91.89
Episode 3080, Pursuer Reward: 1658.85, Evader Reward: -1543.76, Capture Rate (last20): 1.00, Final Dist: 99.14
Episode 3100, Pursuer Reward: 1817.23, Evader Reward: -1712.63, Capture Rate (last20): 1.00, Final Dist: 98.15
Episode 3120, Pursuer Reward: 1094.31, Evader Reward: -1009.17, Capture Rate (last20): 0.90, Final Dist: 95.29
Episode 3140, Pursuer Reward: 1662.90, Evader Reward: -1530.62, Capture Rate (last20): 1.00, Final Dist: 92.77
Episode 3160, Pursuer Reward: 1482.38, Evader Reward: -1404.74, Capture Rate (last20): 0.95, Final Dist: 98.75
Episode 3180, Pursuer Reward: 1211.50, Evader Reward: -1134.57, Capture Rate (last20): 0.95, Final Dist: 98.54
Episode 3200, Pursuer Reward: 1473.95, Evader Reward: -1385.72, Capture Rate (last20): 0.95, Final Dist: 99.16
Episode 3220, Pursuer Reward: 1751.79, Evader Reward: -1614.11, Capture Rate (last20): 1.00, Final Dist: 98.56
Episode 3240, Pursuer Reward: 1507.89, Evader Reward: -1405.69, Capture Rate (last20): 1.00, Final Dist: 98.69
Episode 3260, Pursuer Reward: 1423.55, Evader Reward: -1364.48, Capture Rate (last20): 1.00, Final Dist: 99.37
Episode 3280, Pursuer Reward: 1309.96, Evader Reward: -1229.03, Capture Rate (last20): 0.95, Final Dist: 98.13
Episode 3300, Pursuer Reward: 1534.73, Evader Reward: -1424.55, Capture Rate (last20): 1.00, Final Dist: 97.44
Episode 3320, Pursuer Reward: 1747.93, Evader Reward: -1644.54, Capture Rate (last20): 1.00, Final Dist: 98.87
Episode 3340, Pursuer Reward: 1487.53, Evader Reward: -1398.95, Capture Rate (last20): 1.00, Final Dist: 98.97
Episode 3360, Pursuer Reward: 1038.36, Evader Reward: -1001.69, Capture Rate (last20): 1.00, Final Dist: 99.93
Episode 3380, Pursuer Reward: 1355.07, Evader Reward: -1282.58, Capture Rate (last20): 0.90, Final Dist: 99.48
Episode 3400, Pursuer Reward: 1147.56, Evader Reward: -1091.55, Capture Rate (last20): 1.00, Final Dist: 95.84
Episode 3420, Pursuer Reward: 1560.05, Evader Reward: -1451.99, Capture Rate (last20): 0.90, Final Dist: 97.58
Episode 3440, Pursuer Reward: 1148.83, Evader Reward: -1090.33, Capture Rate (last20): 0.85, Final Dist: 99.33
Episode 3460, Pursuer Reward: 1554.76, Evader Reward: -1446.47, Capture Rate (last20): 1.00, Final Dist: 97.42
Episode 3480, Pursuer Reward: 1464.05, Evader Reward: -1431.15, Capture Rate (last20): 1.00, Final Dist: 98.96
Episode 3500, Pursuer Reward: 1127.67, Evader Reward: -1056.92, Capture Rate (last20): 0.95, Final Dist: 99.01
Episode 3520, Pursuer Reward: 1482.83, Evader Reward: -1394.01, Capture Rate (last20): 0.95, Final Dist: 97.33
Episode 3540, Pursuer Reward: 1023.63, Evader Reward: -1017.12, Capture Rate (last20): 1.00, Final Dist: 93.95
Episode 3560, Pursuer Reward: 821.59, Evader Reward: -784.56, Capture Rate (last20): 1.00, Final Dist: 94.60
Episode 3580, Pursuer Reward: 1277.78, Evader Reward: -1191.91, Capture Rate (last20): 1.00, Final Dist: 99.29
Episode 3600, Pursuer Reward: 1472.97, Evader Reward: -1384.51, Capture Rate (last20): 1.00, Final Dist: 98.45
Episode 3620, Pursuer Reward: 1051.74, Evader Reward: -971.19, Capture Rate (last20): 0.90, Final Dist: 99.74
Episode 3640, Pursuer Reward: 1328.69, Evader Reward: -1257.29, Capture Rate (last20): 0.95, Final Dist: 99.77
Episode 3660, Pursuer Reward: 1068.20, Evader Reward: -1023.40, Capture Rate (last20): 0.95, Final Dist: 96.44
Episode 3680, Pursuer Reward: 1309.58, Evader Reward: -1237.07, Capture Rate (last20): 1.00, Final Dist: 96.94
Episode 3700, Pursuer Reward: 1371.63, Evader Reward: -1289.04, Capture Rate (last20): 1.00, Final Dist: 99.82
Episode 3720, Pursuer Reward: 775.68, Evader Reward: -726.17, Capture Rate (last20): 1.00, Final Dist: 94.64
Episode 3740, Pursuer Reward: 773.32, Evader Reward: -731.84, Capture Rate (last20): 0.95, Final Dist: 98.09
Episode 3760, Pursuer Reward: 1070.87, Evader Reward: -995.39, Capture Rate (last20): 1.00, Final Dist: 97.88
