Using device: cuda
开始训练...
Episode 840, 追击星奖励: -709.30, 逃逸星奖励: 709.30, 平均捕获率 (last20): 0.55, 终端距离: 1454.15, 终止原因: {'捕获': np.False_, '距离': np.float32(1454.1501), '时间': 876.0, '追击星燃料耗尽判断': True, '逃逸星燃料耗尽判断': True, '超时判断': False}
Episode 860, 追击星奖励: -562.45, 逃逸星奖励: 562.45, 平均捕获率 (last20): 0.80, 终端距离: 1324.01, 终止原因: {'捕获': np.False_, '距离': np.float32(1324.0072), '时间': 831.0, '追击星燃料耗尽判断': True, '逃逸星燃料耗尽判断': True, '超时判断': False}
Episode 880, 追击星奖励: 1731.00, 逃逸星奖励: -1603.64, 平均捕获率 (last20): 0.70, 终端距离: 96.67, 终止原因: {'捕获': np.True_, '距离': np.float32(96.673584), '时间': 278.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 900, 追击星奖励: 1463.43, 逃逸星奖励: -1363.73, 平均捕获率 (last20): 0.90, 终端距离: 99.12, 终止原因: {'捕获': np.True_, '距离': np.float32(99.119225), '时间': 359.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 920, 追击星奖励: 1153.34, 逃逸星奖励: -1050.56, 平均捕获率 (last20): 0.85, 终端距离: 98.57, 终止原因: {'捕获': np.True_, '距离': np.float32(98.57357), '时间': 319.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 940, 追击星奖励: 1562.98, 逃逸星奖励: -1438.39, 平均捕获率 (last20): 0.85, 终端距离: 98.62, 终止原因: {'捕获': np.True_, '距离': np.float32(98.622055), '时间': 280.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 960, 追击星奖励: 1378.59, 逃逸星奖励: -1261.16, 平均捕获率 (last20): 0.90, 终端距离: 96.98, 终止原因: {'捕获': np.True_, '距离': np.float32(96.981026), '时间': 317.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 980, 追击星奖励: 849.81, 逃逸星奖励: -773.68, 平均捕获率 (last20): 0.80, 终端距离: 97.00, 终止原因: {'捕获': np.True_, '距离': np.float32(97.003204), '时间': 459.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 1000, 追击星奖励: 1590.42, 逃逸星奖励: -1495.65, 平均捕获率 (last20): 1.00, 终端距离: 98.89, 终止原因: {'捕获': np.True_, '距离': np.float32(98.88809), '时间': 385.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 1020, 追击星奖励: 1534.40, 逃逸星奖励: -1416.86, 平均捕获率 (last20): 0.85, 终端距离: 99.69, 终止原因: {'捕获': np.True_, '距离': np.float32(99.68506), '时间': 309.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 1040, 追击星奖励: 1559.01, 逃逸星奖励: -1448.97, 平均捕获率 (last20): 0.95, 终端距离: 97.20, 终止原因: {'捕获': np.True_, '距离': np.float32(97.20372), '时间': 269.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 1060, 追击星奖励: 1801.47, 逃逸星奖励: -1646.34, 平均捕获率 (last20): 0.90, 终端距离: 99.76, 终止原因: {'捕获': np.True_, '距离': np.float32(99.7557), '时间': 136.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 1080, 追击星奖励: 1654.58, 逃逸星奖励: -1568.67, 平均捕获率 (last20): 1.00, 终端距离: 99.67, 终止原因: {'捕获': np.True_, '距离': np.float32(99.67324), '时间': 494.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 1100, 追击星奖励: -851.33, 逃逸星奖励: 851.33, 平均捕获率 (last20): 0.95, 终端距离: 953.93, 终止原因: {'捕获': np.False_, '距离': np.float32(953.9273), '时间': 766.0, '追击星燃料耗尽判断': True, '逃逸星燃料耗尽判断': True, '超时判断': False}
